1,MIC-TAB-0001,ASUS ZenPad,Microsoft,Tablets,974.28,916.02,94,Reacondicionado,Almacén Principal,12,17/01/2025
2,LEN-LAP-0002,Lenovo ThinkPad X1,Lenovo,Laptops,2455.25,2348.68,12,Exposición,Sucursal Norte,36,26/01/2025
3,APP-LAP-0003,Dell XPS 15,Apple,Laptops,1756.15,1546.2,30,Abierto pero sin usar,Sucursal Norte,12,15/01/2025
4,ASU-TAB-0004,Samsung Galaxy Tab S9,ASUS,Tablets,1038.96,947.44,55,Nuevo,Almacén Principal,12,6/2/2025
5,APP-LAP-0005,MSI GS66,Apple,Laptops,2133.83,1750.09,84,Abierto pero sin usar,Bodega Externa,48,19/01/2025
6,SON-ACC-0006,JBL Bluetooth Speaker,Sony,Accesorios,297.86,285.44,67,Exposición,Sucursal Norte,24,1/2/2025
7,APP-LAP-0007,MacBook Air,Apple,Laptops,1668.81,1664.88,62,Reacondicionado,Sucursal Sur,12,27/01/2025
8,APP-LAP-0008,Razer Blade,Apple,Laptops,969.7,818.69,96,Exposición,Bodega Externa,6,27/01/2025
9,LEN-MON-0009,HP OMEN,Lenovo,Monitores,812.12,704.28,25,Reacondicionado,Sucursal Sur,48,12/2/2025
10,ACE-SMA-0010,Vivo X100 Pro,Acer,Smartphones,1406.37,1157.13,3,Nuevo,Bodega Externa,6,15/01/2025
11,ASU-LAP-0011,Acer Predator,ASUS,Laptops,1644.74,1553.82,46,Reacondicionado,Sucursal Norte,24,23/01/2025
12,SAM-TAB-0012,Lenovo Tab P12 Pro,Samsung,Tablets,636.67,452.01,64,Nuevo,Sucursal Sur,24,22/01/2025
13,LEN-TAB-0013,ASUS ZenPad,Lenovo,Tablets,620.52,465.6,21,Nuevo,Sucursal Sur,48,5/2/2025
14,SON-SMA-0014,Xiaomi 14 Pro,Sony,Smartphones,1017.14,915.45,26,Nuevo,Sucursal Norte,48,11/2/2025
15,SAM-ACC-0015,Kingston SSD,Samsung,Accesorios,427.96,370.33,28,Abierto pero sin usar,Bodega Externa,24,16/01/2025
16,SON-SMA-0016,iPhone 15 Pro,Sony,Smartphones,583.3,559.12,65,Nuevo,Bodega Externa,6,6/2/2025
17,APP-LAP-0017,MacBook Air,Apple,Laptops,1301.55,1014.59,47,Exposición,Sucursal Norte,12,13/02/2025
18,ACE-ACC-0018,Apple Watch,Acer,Accesorios,346.42,292.79,50,Abierto pero sin usar,Bodega Externa,24,14/01/2025
19,LG-MON-0019,Philips Brilliance,LG,Monitores,857.82,727.17,53,Nuevo,Tienda Central,36,21/01/2025
20,LEN-LAP-0020,Lenovo ThinkPad X1,Lenovo,Laptops,2697.23,2454.46,36,Reacondicionado,Bodega Externa,6,17/01/2025
21,HP-TAB-0021,iPad Air,HP,Tablets,961.28,928.26,80,Exposición,Sucursal Norte,12,22/01/2025
22,LEN-MON-0022,Philips Brilliance,Lenovo,Monitores,397.04,349.79,10,Nuevo,Tienda Central,36,29/01/2025
23,DEL-MON-0023,ViewSonic Elite,Dell,Monitores,362.37,267.58,38,Reacondicionado,Bodega Externa,6,29/01/2025
24,APP-MON-0024,Dell UltraSharp,Apple,Monitores,420.9,335.68,48,Nuevo,Sucursal Norte,12,15/01/2025
25,HP-MON-0025,BenQ PhotoVue,HP,Monitores,416.43,309.42,52,Nuevo,Tienda Central,48,12/2/2025
26,SON-TAB-0026,Samsung Galaxy Tab S9,Sony,Tablets,349.99,252.75,75,Reacondicionado,Sucursal Sur,6,22/01/2025
27,ACE-TAB-0027,iPad Pro,Acer,Tablets,763.45,672.85,10,Abierto pero sin usar,Sucursal Norte,36,21/01/2025
28,APP-SMA-0028,Samsung Galaxy S24,Apple,Smartphones,1008.2,953.88,26,Reacondicionado,Sucursal Sur,6,18/01/2025
29,MIC-LAP-0029,Dell XPS 13,Microsoft,Laptops,2313.51,1977.57,92,Abierto pero sin usar,Almacén Principal,6,17/01/2025
30,ACE-SMA-0030,Nothing Phone,Acer,Smartphones,824.14,651.19,91,Exposición,Tienda Central,48,25/01/2025
31,DEL-TAB-0031,iPad Air,Dell,Tablets,1032.44,878.89,75,Nuevo,Sucursal Norte,6,23/01/2025
32,MIC-TAB-0032,iPad Pro,Microsoft,Tablets,408.16,403.42,54,Exposición,Sucursal Norte,36,29/01/2025
33,DEL-SMA-0033,Xiaomi 14 Pro,Dell,Smartphones,1276.19,1271.48,12,Exposición,Sucursal Norte,36,14/01/2025
34,HP-LAP-0034,Dell XPS 13,HP,Laptops,2446.5,2103.41,69,Abierto pero sin usar,Almacén Principal,36,29/01/2025
35,SON-TAB-0035,iPad Pro,Sony,Tablets,387.59,328.46,7,Abierto pero sin usar,Bodega Externa,12,31/01/2025
